race_year,driver_name,driver_nationality,team,points,wins,rank
2015,Alexander Rossi,American,Manor Marussia,0.0,,20.5
2015,Carlos Sainz,Spanish,Toro Rosso,18.0,,15.0
2016,Carlos Sainz,Spanish,Toro Rosso,46.0,,12.0
2015,Daniel Ricciardo,Australian,Red Bull,92.0,,8.0
2016,Daniel Ricciardo,Australian,Red Bull,256.0,1.0,3.0
2015,Daniil Kvyat,Russian,Red Bull,95.0,,7.0
2016,Daniil Kvyat,Russian,Red Bull,21.0,,14.5
2016,Daniil Kvyat,Russian,Toro Rosso,4.0,,18.0
2016,Esteban Gutiérrez,Mexican,Haas F1 Team,0.0,,24.5
2016,Esteban Ocon,French,Manor Marussia,0.0,,24.5
2015,Felipe Massa,Brazilian,Williams,121.0,,6.0
2016,Felipe Massa,Brazilian,Williams,53.0,,11.0
2015,Felipe Nasr,Brazilian,Sauber,27.0,,13.5
2016,Felipe Nasr,Brazilian,Sauber,2.0,,19.0
2015,Fernando Alonso,Spanish,McLaren,11.0,,17.0
2016,Fernando Alonso,Spanish,McLaren,54.0,,10.0
2015,Jenson Button,British,McLaren,16.0,,16.0
2016,Jenson Button,British,McLaren,21.0,,14.5
2016,Jolyon Palmer,British,Renault,1.0,,21.0
2015,Kevin Magnussen,Danish,McLaren,0.0,,20.5
2016,Kevin Magnussen,Danish,Renault,7.0,,17.0
2015,Kimi Räikkönen,Finnish,Ferrari,150.0,,4.0
2016,Kimi Räikkönen,Finnish,Ferrari,186.0,,6.0
2015,Lewis Hamilton,British,Mercedes,381.0,10.0,1.0
2016,Lewis Hamilton,British,Mercedes,380.0,10.0,2.0
2015,Marcus Ericsson,Swedish,Sauber,9.0,,18.0
2016,Marcus Ericsson,Swedish,Sauber,0.0,,24.5
2015,Max Verstappen,Dutch,Toro Rosso,49.0,,12.0
2016,Max Verstappen,Dutch,Red Bull,191.0,1.0,5.0
2016,Max Verstappen,Dutch,Toro Rosso,13.0,1.0,16.0
2015,Nico Hülkenberg,German,Force India,58.0,,10.0
2016,Nico Hülkenberg,German,Force India,72.0,,9.0
2015,Nico Rosberg,German,Mercedes,322.0,6.0,2.0
2016,Nico Rosberg,German,Mercedes,385.0,9.0,1.0
2016,Pascal Wehrlein,German,Manor Marussia,1.0,,21.0
2015,Pastor Maldonado,Venezuelan,Lotus F1,27.0,,13.5
2016,Rio Haryanto,Indonesian,Manor Marussia,0.0,,24.5
2015,Roberto Merhi,Spanish,Manor Marussia,0.0,,20.5
2015,Romain Grosjean,French,Lotus F1,51.0,,11.0
2016,Romain Grosjean,French,Haas F1 Team,29.0,,13.0
2015,Sebastian Vettel,German,Ferrari,278.0,3.0,3.0
2016,Sebastian Vettel,German,Ferrari,212.0,,4.0
2015,Sergio Pérez,Mexican,Force India,78.0,,9.0
2016,Sergio Pérez,Mexican,Force India,101.0,,7.0
2016,Stoffel Vandoorne,Belgian,McLaren,1.0,,21.0
2015,Valtteri Bottas,Finnish,Williams,136.0,,5.0
2016,Valtteri Bottas,Finnish,Williams,85.0,,8.0
2015,Will Stevens,British,Manor Marussia,0.0,,20.5
